"Document 1","Document 2","Similarity"
"學而","學而","1.00"
"學而","為政","0.170"
"學而","八佾","0.0916"
"學而","里仁","0.188"
"學而","公冶長","0.149"
"學而","雍也","0.0918"
"學而","述而","0.122"
"學而","泰伯","0.137"
"學而","子罕","0.0982"
"學而","鄉黨","0.0569"
"學而","先進","0.0966"
"學而","顏淵","0.122"
"學而","子路","0.144"
"學而","憲問","0.101"
"學而","衛靈公","0.139"
"學而","季氏","0.122"
"學而","陽貨","0.159"
"學而","微子","0.0537"
"學而","子張","0.187"
"學而","堯曰","0.0778"
"學而","孔子世家","0.137"
"學而","仲尼弟子列傳","0.119"
"學而","本姓解","0.0655"
"學而","七十二弟子解","0.0654"
"學而","衣鏡·孔子傳","0.0293"
"學而","衣鏡·弟子傳","0.0421"
"為政","為政","1.00"
"為政","八佾","0.0620"
"為政","里仁","0.0938"
"為政","公冶長","0.128"
"為政","雍也","0.119"
"為政","述而","0.105"
"為政","泰伯","0.0965"
"為政","子罕","0.0836"
"為政","鄉黨","0.0729"
"為政","先進","0.138"
"為政","顏淵","0.194"
"為政","子路","0.152"
"為政","憲問","0.0896"
"為政","衛靈公","0.111"
"為政","季氏","0.114"
"為政","陽貨","0.129"
"為政","微子","0.0622"
"為政","子張","0.148"
"為政","堯曰","0.0913"
"為政","孔子世家","0.165"
"為政","仲尼弟子列傳","0.139"
"為政","本姓解","0.0932"
"為政","七十二弟子解","0.0891"
"為政","衣鏡·孔子傳","0.0637"
"為政","衣鏡·弟子傳","0.0536"
"八佾","八佾","1.00"
"八佾","里仁","0.0462"
"八佾","公冶長","0.0562"
"八佾","雍也","0.0736"
"八佾","述而","0.112"
"八佾","泰伯","0.0665"
"八佾","子罕","0.105"
"八佾","鄉黨","0.0552"
"八佾","先進","0.0808"
"八佾","顏淵","0.0910"
"八佾","子路","0.0700"
"八佾","憲問","0.189"
"八佾","衛靈公","0.0682"
"八佾","季氏","0.0553"
"八佾","陽貨","0.0724"
"八佾","微子","0.0700"
"八佾","子張","0.0890"
"八佾","堯曰","0.0502"
"八佾","孔子世家","0.163"
"八佾","仲尼弟子列傳","0.0916"
"八佾","本姓解","0.145"
"八佾","七十二弟子解","0.0414"
"八佾","衣鏡·孔子傳","0.0187"
"八佾","衣鏡·弟子傳","0.0320"
"里仁","里仁","1.00"
"里仁","公冶長","0.146"
"里仁","雍也","0.0851"
"里仁","述而","0.124"
"里仁","泰伯","0.0903"
"里仁","子罕","0.0770"
"里仁","鄉黨","0.0553"
"里仁","先進","0.0942"
"里仁","顏淵","0.132"
"里仁","子路","0.171"
"里仁","憲問","0.112"
"里仁","衛靈公","0.131"
"里仁","季氏","0.104"
"里仁","陽貨","0.193"
"里仁","微子","0.0723"
"里仁","子張","0.0935"
"里仁","堯曰","0.0934"
"里仁","孔子世家","0.135"
"里仁","仲尼弟子列傳","0.107"
"里仁","本姓解","0.0533"
"里仁","七十二弟子解","0.0558"
"里仁","衣鏡·孔子傳","0.0152"
"里仁","衣鏡·弟子傳","0.0158"
"公冶長","公冶長","1.00"
"公冶長","雍也","0.146"
"公冶長","述而","0.104"
"公冶長","泰伯","0.0672"
"公冶長","子罕","0.101"
"公冶長","鄉黨","0.0719"
"公冶長","先進","0.198"
"公冶長","顏淵","0.135"
"公冶長","子路","0.124"
"公冶長","憲問","0.143"
"公冶長","衛靈公","0.126"
"公冶長","季氏","0.113"
"公冶長","陽貨","0.141"
"公冶長","微子","0.101"
"公冶長","子張","0.113"
"公冶長","堯曰","0.0742"
"公冶長","孔子世家","0.176"
"公冶長","仲尼弟子列傳","0.179"
"公冶長","本姓解","0.0973"
"公冶長","七十二弟子解","0.115"
"公冶長","衣鏡·孔子傳","0.0393"
"公冶長","衣鏡·弟子傳","0.0298"
"雍也","雍也","1.00"
"雍也","述而","0.132"
"雍也","泰伯","0.0717"
"雍也","子罕","0.145"
"雍也","鄉黨","0.0816"
"雍也","先進","0.192"
"雍也","顏淵","0.187"
"雍也","子路","0.134"
"雍也","憲問","0.132"
"雍也","衛靈公","0.123"
"雍也","季氏","0.0788"
"雍也","陽貨","0.123"
"雍也","微子","0.0694"
"雍也","子張","0.0972"
"雍也","堯曰","0.0764"
"雍也","孔子世家","0.210"
"雍也","仲尼弟子列傳","0.178"
"雍也","本姓解","0.0916"
"雍也","七十二弟子解","0.0903"
"雍也","衣鏡·孔子傳","0.0280"
"雍也","衣鏡·弟子傳","0.0326"
"述而","述而","1.00"
"述而","泰伯","0.110"
"述而","子罕","0.141"
"述而","鄉黨","0.0866"
"述而","先進","0.127"
"述而","顏淵","0.129"
"述而","子路","0.167"
"述而","憲問","0.174"
"述而","衛靈公","0.122"
"述而","季氏","0.0943"
"述而","陽貨","0.148"
"述而","微子","0.111"
"述而","子張","0.112"
"述而","堯曰","0.0923"
"述而","孔子世家","0.262"
"述而","仲尼弟子列傳","0.170"
"述而","本姓解","0.101"
"述而","七十二弟子解","0.0711"
"述而","衣鏡·孔子傳","0.0393"
"述而","衣鏡·弟子傳","0.0296"
"泰伯","泰伯","1.00"
"泰伯","子罕","0.0858"
"泰伯","鄉黨","0.0488"
"泰伯","先進","0.102"
"泰伯","顏淵","0.0582"
"泰伯","子路","0.0864"
"泰伯","憲問","0.0984"
"泰伯","衛靈公","0.124"
"泰伯","季氏","0.0836"
"泰伯","陽貨","0.130"
"泰伯","微子","0.0582"
"泰伯","子張","0.104"
"泰伯","堯曰","0.107"
"泰伯","孔子世家","0.134"
"泰伯","仲尼弟子列傳","0.0965"
"泰伯","本姓解","0.0730"
"泰伯","七十二弟子解","0.0523"
"泰伯","衣鏡·孔子傳","0.0362"
"泰伯","衣鏡·弟子傳","0.0220"
"子罕","子罕","1.00"
"子罕","鄉黨","0.0980"
"子罕","先進","0.143"
"子罕","顏淵","0.0972"
"子罕","子路","0.0968"
"子罕","憲問","0.135"
"子罕","衛靈公","0.122"
"子罕","季氏","0.109"
"子罕","陽貨","0.121"
"子罕","微子","0.101"
"子罕","子張","0.0894"
"子罕","堯曰","0.0702"
"子罕","孔子世家","0.228"
"子罕","仲尼弟子列傳","0.136"
"子罕","本姓解","0.0801"
"子罕","七十二弟子解","0.0920"
"子罕","衣鏡·孔子傳","0.0513"
"子罕","衣鏡·弟子傳","0.0447"
"鄉黨","鄉黨","1.00"
"鄉黨","先進","0.0813"
"鄉黨","顏淵","0.0644"
"鄉黨","子路","0.0756"
"鄉黨","憲問","0.0662"
"鄉黨","衛靈公","0.0964"
"鄉黨","季氏","0.0699"
"鄉黨","陽貨","0.0739"
"鄉黨","微子","0.0471"
"鄉黨","子張","0.0692"
"鄉黨","堯曰","0.0541"
"鄉黨","孔子世家","0.143"
"鄉黨","仲尼弟子列傳","0.0713"
"鄉黨","本姓解","0.0487"
"鄉黨","七十二弟子解","0.0372"
"鄉黨","衣鏡·孔子傳","0.0151"
"鄉黨","衣鏡·弟子傳","0.0188"
"先進","先進","1.00"
"先進","顏淵","0.143"
"先進","子路","0.117"
"先進","憲問","0.124"
"先進","衛靈公","0.122"
"先進","季氏","0.123"
"先進","陽貨","0.125"
"先進","微子","0.106"
"先進","子張","0.112"
"先進","堯曰","0.0567"
"先進","孔子世家","0.250"
"先進","仲尼弟子列傳","0.210"
"先進","本姓解","0.0944"
"先進","七十二弟子解","0.123"
"先進","衣鏡·孔子傳","0.0774"
"先進","衣鏡·弟子傳","0.0391"
"顏淵","顏淵","1.00"
"顏淵","子路","0.185"
"顏淵","憲問","0.159"
"顏淵","衛靈公","0.136"
"顏淵","季氏","0.0979"
"顏淵","陽貨","0.122"
"顏淵","微子","0.0829"
"顏淵","子張","0.132"
"顏淵","堯曰","0.0810"
"顏淵","孔子世家","0.183"
"顏淵","仲尼弟子列傳","0.155"
"顏淵","本姓解","0.0732"
"顏淵","七十二弟子解","0.0619"
"顏淵","衣鏡·孔子傳","0.0265"
"顏淵","衣鏡·弟子傳","0.0388"
"子路","子路","1.00"
"子路","憲問","0.142"
"子路","衛靈公","0.0980"
"子路","季氏","0.0930"
"子路","陽貨","0.127"
"子路","微子","0.0902"
"子路","子張","0.102"
"子路","堯曰","0.105"
"子路","孔子世家","0.201"
"子路","仲尼弟子列傳","0.138"
"子路","本姓解","0.0859"
"子路","七十二弟子解","0.0808"
"子路","衣鏡·孔子傳","0.0338"
"子路","衣鏡·弟子傳","0.0277"
"憲問","憲問","1.00"
"憲問","衛靈公","0.147"
"憲問","季氏","0.128"
"憲問","陽貨","0.137"
"憲問","微子","0.140"
"憲問","子張","0.146"
"憲問","堯曰","0.0663"
"憲問","孔子世家","0.253"
"憲問","仲尼弟子列傳","0.171"
"憲問","本姓解","0.141"
"憲問","七十二弟子解","0.0849"
"憲問","衣鏡·孔子傳","0.0415"
"憲問","衣鏡·弟子傳","0.0347"
"衛靈公","衛靈公","1.00"
"衛靈公","季氏","0.117"
"衛靈公","陽貨","0.144"
"衛靈公","微子","0.109"
"衛靈公","子張","0.163"
"衛靈公","堯曰","0.0786"
"衛靈公","孔子世家","0.191"
"衛靈公","仲尼弟子列傳","0.138"
"衛靈公","本姓解","0.0805"
"衛靈公","七十二弟子解","0.0751"
"衛靈公","衣鏡·孔子傳","0.0217"
"衛靈公","衣鏡·弟子傳","0.0289"
"季氏","季氏","1.00"
"季氏","陽貨","0.0994"
"季氏","微子","0.0790"
"季氏","子張","0.0989"
"季氏","堯曰","0.0847"
"季氏","孔子世家","0.191"
"季氏","仲尼弟子列傳","0.133"
"季氏","本姓解","0.116"
"季氏","七十二弟子解","0.0747"
"季氏","衣鏡·孔子傳","0.0374"
"季氏","衣鏡·弟子傳","0.0232"
"陽貨","陽貨","1.00"
"陽貨","微子","0.0906"
"陽貨","子張","0.137"
"陽貨","堯曰","0.119"
"陽貨","孔子世家","0.222"
"陽貨","仲尼弟子列傳","0.145"
"陽貨","本姓解","0.0931"
"陽貨","七十二弟子解","0.0969"
"陽貨","衣鏡·孔子傳","0.0469"
"陽貨","衣鏡·弟子傳","0.0295"
"微子","微子","1.00"
"微子","子張","0.0828"
"微子","堯曰","0.0690"
"微子","孔子世家","0.285"
"微子","仲尼弟子列傳","0.142"
"微子","本姓解","0.103"
"微子","七十二弟子解","0.0922"
"微子","衣鏡·孔子傳","0.0501"
"微子","衣鏡·弟子傳","0.0334"
"子張","子張","1.00"
"子張","堯曰","0.0919"
"子張","孔子世家","0.207"
"子張","仲尼弟子列傳","0.116"
"子張","本姓解","0.127"
"子張","七十二弟子解","0.0650"
"子張","衣鏡·孔子傳","0.0443"
"子張","衣鏡·弟子傳","0.0483"
"堯曰","堯曰","1.00"
"堯曰","孔子世家","0.124"
"堯曰","仲尼弟子列傳","0.0793"
"堯曰","本姓解","0.0691"
"堯曰","七十二弟子解","0.0283"
"堯曰","衣鏡·孔子傳","0.0213"
"堯曰","衣鏡·弟子傳","0.0252"
"孔子世家","孔子世家","1.00"
"孔子世家","仲尼弟子列傳","0.426"
"孔子世家","本姓解","0.317"
"孔子世家","七十二弟子解","0.248"
"孔子世家","衣鏡·孔子傳","0.164"
"孔子世家","衣鏡·弟子傳","0.0655"
"仲尼弟子列傳","仲尼弟子列傳","1.00"
"仲尼弟子列傳","本姓解","0.206"
"仲尼弟子列傳","七十二弟子解","0.609"
"仲尼弟子列傳","衣鏡·孔子傳","0.0988"
"仲尼弟子列傳","衣鏡·弟子傳","0.113"
"本姓解","本姓解","1.00"
"本姓解","七十二弟子解","0.201"
"本姓解","衣鏡·孔子傳","0.0947"
"本姓解","衣鏡·弟子傳","0.0311"
"七十二弟子解","七十二弟子解","1.00"
"七十二弟子解","衣鏡·孔子傳","0.0910"
"七十二弟子解","衣鏡·弟子傳","0.118"
"衣鏡·孔子傳","衣鏡·孔子傳","1.00"
"衣鏡·孔子傳","衣鏡·弟子傳","0.322"
"衣鏡·弟子傳","衣鏡·弟子傳","1.00"
